Fecha,CCL_Yahoo_Sintetico,Blue_Venta,MEP_Bolsa,CCL_Api,Oficial_BNA,Oficial_Mayorista,indice_cac_reshape_mensual.Indice_CostoConstruccion,indice_cac_reshape_mensual.Indice_ManoDeObra,indice_cac_reshape_mensual.Indice_Materiales,indice_cac_reshape_mensual.Apymeco Proyectado,BCRA.UVA,BCRA.CER,BCRA.Tasa_Politica_Monetaria,BCRA.Dolar_Mayorista_A3500,BCRA.ICL_Alquileres,BCRA.Reservas_Internacionales,Índice Remax.Valor M2 (USD),Índice Remax.Precio de Venta vs. Publicado (%)_1,ZonaProp.ESTRENAR,ZonaProp.POZO,ZonaProp.INDEX CABA,ZonaProp.USADO
2016-01-01,,14,,14.14,13,13.11,135.1,131.7,137.4,19499.315371668512,,5.03860331147,,,,,,,2295.0,2127.0,2177.0,2141.0
2016-02-01,13.9472753656986,14,,14.24,14,14.14,138.8,134.4,141.8,20078.944410917804,,5.15921930879,4.1,14.0883,,29985.0,,,2308.0,2187.0,2181.0,2141.0
2016-03-01,15.93686429803223,16,,15.9,16,15.81,140.2,134.4,144.1,20628.84888405175,,5.35226992353,2.7,15.9192,,28195.0,,,2338.0,2207.0,2197.0,2152.0
2016-04-01,14.70378304420188,15,,14.82,15,14.82,151.6,158.7,146.8,20836.920846859182,14.05,5.56844026938,3.0,14.7033,,29407.0,,,2408.0,2302.0,2236.0,2179.0
2016-05-01,14.33087468250215,15,,14.26,15,14.29,153.1,159.0,149.1,22531.22111543404,14.41,5.71846668562,3.4,14.2582,,34380.0,,,2463.0,2404.0,2264.0,2196.0
2016-06-01,13.94811686258902,14,,14.14,14,13.98,154.4,159.9,150.6,22754.155361299156,14.88,5.89852431299,4.2,13.9537,,30742.0,,,2479.0,2439.0,2273.0,2203.0
2016-07-01,15.0339474753315,15,,15.32,15,15.03,156.4,161.2,153.2,22947.365041048924,15.39,6.10296716621,3.1,15.119,,30749.0,,,2484.0,2454.0,2290.0,2217.0
2016-08-01,15.15099603658968,15,,15.08,15,14.96,157.0,161.2,154.2,23244.610702202408,15.93,6.32533051758,2.0,14.9858,,32628.0,,,2492.0,2455.0,2304.0,2230.0
2016-09-01,14.94404304806877,15,,14.99,15,14.93,158.2,161.2,156.2,23333.78440054845,16.36,6.48078645177,0.2,14.8843,,31102.0,,,2511.0,2457.0,2316.0,2244.0
2016-10-01,15.1076821208294,16,,15.39,16,15.34,165.8,176.6,158.4,23512.13179724054,16.52,6.54407659192,1.1,15.2633,,29902.0,,,2514.0,2507.0,2323.0,2254.0
2016-11-01,15.0586702423029,16,,15.23,15,15.11,167.4,176.6,161.1,24641.665309623782,16.63,6.58884506449,2.4,15.1252,,37533.0,,,2520.0,2553.0,2334.0,2268.0
2016-12-01,15.84967322977414,16,,15.96,16,15.88,171.3,182.6,163.6,24879.46183854657,16.92,6.7067906204,1.6,15.874,,37275.0,,,2530.0,2549.0,2346.0,2282.0
2017-01-01,15.86181301705922,17,,15.87,16,15.9,178.3,193.6,167.8,25459.090877795865,17.26,6.84122722365,1.2,15.8502,,39308.0,,,2543.0,2548.0,2357.0,2290.0
2017-02-01,15.86921830769932,17,,15.96,16,15.82,179.0,193.6,169.0,26499.450691833055,17.51,6.93568425875,1.3,15.835,,46750.0,,,2557.0,2570.0,2370.0,2300.0
2017-03-01,15.55758158624409,16,,15.59,16,15.45,180.0,193.6,170.7,26603.486673236777,17.68,7.01819413017,2.5,15.477,,50551.0,,,2578.0,2619.0,2386.0,2312.0
2017-04-01,15.55731658117688,16,,15.49,16,15.42,187.3,207.9,173.2,26752.109503813517,18.07,7.16078471151,2.4,15.3818,,50522.0,,,2607.0,2639.0,2400.0,2324.0
2017-05-01,15.53621736295551,16,,15.48,16,15.42,189.4,209.2,176.0,27837.056167023737,18.48,7.33406590387,2.6,15.4268,,48217.0,,,2639.0,2644.0,2414.0,2337.0
2017-06-01,16.10708843919865,16,,16.2,16,16.09,191.2,209.2,179.0,28149.16411123489,18.97,7.51954682026,1.3,16.0577,,45082.0,,,2683.0,2661.0,2441.0,2356.0
2017-07-01,16.63930533860806,17,,16.45,17,16.65,202.2,228.1,184.5,28416.68520627302,19.34,7.66039761339,1.2,16.5985,,47995.0,,,2710.0,2659.0,2469.0,2375.0
2017-08-01,17.56209542221921,18,,17.72,18,17.61,204.5,228.1,188.4,30051.536342617183,19.58,7.75691527464,1.7,17.6135,,46840.0,,,2734.0,2667.0,2496.0,2403.0
2017-09-01,17.27509761173594,18,,17.4,18,17.3,206.2,228.1,191.3,30393.36885294369,19.86,7.86924837048,1.4,17.2367,,49433.0,,,2764.0,2703.0,2535.0,2442.0
2017-10-01,17.3069451617664,18,,17.6,18,17.35,208.0,228.1,194.2,30646.02766492415,20.16,7.98914069377,1.9,17.3183,,50237.0,,,2789.0,2746.0,2565.0,2467.0
2017-11-01,17.66173858534663,18,,17.7,18,17.64,210.1,228.1,197.8,30913.548759962283,20.51,8.12704014568,1.5,17.6492,,52124.0,,,2823.0,2800.0,2596.0,2501.0
2017-12-01,17.17891486406834,18,,17.51,18,17.54,212.7,228.1,202.2,31225.65670417344,20.86,8.26414598009,1.4,17.26,,54905.0,,,2867.0,2843.0,2634.0,2547.0
2018-01-01,18.96052436650211,19,,18.93,19,18.67,220.2,236.1,209.4,31612.076063672972,21.15,8.3881662286,3.1,18.7742,,55055.0,,,2883.0,2841.0,2647.0,2563.0
2018-02-01,19.54266441099382,20,,19.7,20,19.4,224.3,239.3,214.1,32726.747292998534,21.66,8.58483344462,1.8,19.47,,62174.0,,,2943.0,2853.0,2681.0,2596.0
2018-03-01,20.21572147809267,20,,20.16,20,20.18,229.8,243.2,220.7,33336.10089836318,22.17,8.78328371747,2.4,20.162,,61450.0,,,3022.0,2920.0,2729.0,2644.0
